POD01-OSAKA-OSK01-VB08-MGMT-REGION_MGMT-DS,VBOdhv-067
POD01-OSAKA-OSK01-VB08-MGMT-REGION_MGMT-DSDB,VBOdhv-068
POD01-OSAKA-OSK01-VB08-MGMT-REGION_MGMT-SRM_EDGE,VBOdhv-100-0
POD01-OSAKA-OSK01-VB08-MGMT-REGION_MGMT-VSRA-01,VBOdhv-rep02
POD01-OSAKA-OSK01-VB08-MGMT-REGION_MGMT-VSRA-02,VBOdhv-rep03
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB01-SPLF,VBCdhv-splidx01
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-N1KV-A,VBCdsv-010
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-N1KV-B,VBCdsv-011
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-SPLF,VBCdhv-033
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-VC-A,VBCdhv-011a
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-VC-B,VBCdhv-011b
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-VCDB-LS,VBOdhv-060 (VBCdhv-013 Test)
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-VCDB-M,VBOdhv-056 (VBCdhv-013 Failover)
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-VUM-A,VBCdhv-012a
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB02-VUM-B,VBCdhv-012b
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB07-SPLF,VB07-Splunk
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB07-VC-A,VBGdhv-003a
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB07-VC-B,VBGdhv-003b
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB07-VCDB-LS,VBOdhv-061 (VBGdhv-005 Test)
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB07-VCDB-M,VBOdhv-057 (VBGdhv-005 Failover)
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB07-VUM-A,VBGdhv-004a
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_REPLICA_VB07-VUM-B,VBGdhv-004b
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_VSM_REPLICA_VB01-VSM,VBCdhv-vs03
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_VSM_REPLICA_VB02-VSM,VBCdhv-vs02c
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_VSM_REPLICA_VB07-VSM,VBCdhv-vs07
POD01-OSAKA-OSK01-VB08-MGMT-VB_MGMT_VSM_VB08-VSM,VBOdhv-062
POD01-OSAKA-OSK01-VB09-AMP-ESX_AGENT-DSVA-01,VBOdhv-051
POD01-OSAKA-OSK01-VB09-AMP-ESX_AGENT-DSVA-02,VBOdhv-052
POD01-OSAKA-OSK01-VB09-AMP-ESX_AGENT-VADP-01,VBOdap-012
POD01-OSAKA-OSK01-VB09-AMP-ESX_AGENT-VADP-02,VBOdap-011
POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-AM,VBOdhv-050
POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-SPLF,VB09-Splunk
POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-VC-A,VBOdhv-043a
POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-VC-B,VBOdhv-043b
POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-VCDB-A,VBOdhv-045a
POD01-OSAKA-OSK01-VB09-AMP-VB_MGMT-VCDB-B,VBOdhv-045b
