ESX_AGENT6-VB08-VADP-01	VBOdap-009
ESX_AGENT6-VB08-VADP-02	VBOdap-010
ESX_AGENT6-VB08-VADP-03	VBOdap-005
REGION_MGMT-OSAKA-SRM_VRS	VBOdhv-038
REGION_MGMT-OSAKA-SRM	VBOdhv-037
DC_MGMT-OSK01-SSO-A	VBOdhv-026a
DC_MGMT-OSK01-SSO-B	VBOdhv-026b
ESX_AGENT6-VB08-VADP-04	VBOdap-006
ESX_AGENT6-VB08-VADP-05	VBOdap-007
ESX_AGENT6-VB08-VADP-06	VBOdap-008
DC_MGMT-OSK01-ESRS-01	VBOdhv-027
DC_MGMT-OSK01-ESRS-02	VBOdhv-028
DC_MGMT-OSK01-ESRS-03	VBOdhv-029
REGION_MGMT-OSAKA-AM	VBOdhv-030
REGION_MGMT-OSAKA-SPLF	VB8-SPLUNK
REGION_MGMT-OSAKA-VSM	VBOdhv-062
REGION_MGMT-OSAKA-VUM-A	VBOdhv-024a
REGION_MGMT-OSAKA-VUM-B	VBOdhv-024b
REGION_MGMT-OSAKA-VC-A	VBOdhv-023a
REGION_MGMT-OSAKA-VC-B	VBOdhv-023b
REGION_MGMT-OSAKA-VCDB-A	VBOdhv-025
VB_MGMT-VB09-AM	VBOdhv-050
ESX_AGENT2-VB09-DSVA-01	VBOdhv-051
ESX_AGENT2-VB09-DSVA-02	VBOdhv-052
VB_MGMT-VB09-SPLF	VB09-Splunk
VB_MGMT-VB09-VUM-A	VBOdhv-044a
VB_MGMT-VB09-VUM-B	VBOdhv-044b
ESX_AGENT2-VB09-VADP-01	VBOdap-012
ESX_AGENT2-VB09-VADP-02	VBOdap-011
VB_MGMT-VB09-VC-A	VBOdhv-043a
VB_MGMT-VB09-VC-B	VBOdhv-043b
VB_MGMT-VB09-VCDB-A	VBOdhv-045
VB_MGMT-VB09-VCDB-B	VBOdhv-053
VB_MGMT-VB09-VCDB-M	VBCdhv-049 (VBOdhv-045 Failover)
VB_MGMT-VB09-VCDB-LS	VBCdhv-050 (VBOdhv-045 Test)
VB_MGMT-VB09-VSM	VBCdhv-vs09
