TOKYO,VB_MGMT-VB07-SPLF,VB07-Splunk
TOKYO,VB_MGMT-VB07-VC-A,VBGdhv-003a
TOKYO,VB_MGMT-VB07-VC-B,VBGdhv-003b
TOKYO,VB_MGMT-VB07-VCDB-A,VBGdhv-005
TOKYO,VB_MGMT-VB07-VCDB-B,VBGdhv-015
TOKYO,VB_MGMT-VB07-VSM,VBCdhv-vs07
TOKYO,VB_MGMT-VB07-VUM-A,VBGdhv-004a
TOKYO,VB_MGMT-VB07-VUM-B,VBGdhv-004b
TOKYO,VB_MGMT-VB09-VCDB-LS,VBCdhv-050 (VBOdhv-045 Test)
TOKYO,VB_MGMT-VB09-VCDB-M,VBCdhv-049 (VBOdhv-045 Failover)
TOKYO,VB_MGMT-VB09-VSM,VBCdhv-vs09
OSAKA,DAAS_MGMT-VCDDB-LS,VBOdhv-058 (db02 Test)
OSAKA,DAAS_MGMT-VCDDB-M,VBOdhv-054 (db02 Failover)
OSAKA,DC_MGMT-OSK01-AD-A,VBOdhv-011
OSAKA,DC_MGMT-OSK01-AD-B,VBOdhv-012
OSAKA,DC_MGMT-OSK01-ESRS-01,VBOdhv-027
OSAKA,DC_MGMT-OSK01-ESRS-02,VBOdhv-028
OSAKA,DC_MGMT-OSK01-ESRS-03,VBOdhv-029
OSAKA,DC_MGMT-OSK01-SSO-A,VBOdhv-026a
OSAKA,DC_MGMT-OSK01-SSO-B,VBOdhv-026b
OSAKA,ESX_AGENT2-VB09-DSVA-01,VBOdhv-051
OSAKA,ESX_AGENT2-VB09-DSVA-02,VBOdhv-052
OSAKA,ESX_AGENT2-VB09-VADP-01,VBOdap-012
OSAKA,ESX_AGENT2-VB09-VADP-02,VBOdap-011
OSAKA,ESX_AGENT6-VB08-DSVA-01,VBOdhv-015
OSAKA,ESX_AGENT6-VB08-DSVA-02,VBOdhv-016
OSAKA,ESX_AGENT6-VB08-DSVA-03,VBOdhv-017
OSAKA,ESX_AGENT6-VB08-DSVA-04,VBOdhv-018
OSAKA,ESX_AGENT6-VB08-DSVA-05,VBOdhv-019
OSAKA,ESX_AGENT6-VB08-DSVA-06,VBOdhv-020
OSAKA,ESX_AGENT6-VB08-VADP-01,VBOdap-009
OSAKA,ESX_AGENT6-VB08-VADP-02,VBOdap-010
OSAKA,ESX_AGENT6-VB08-VADP-03,VBOdap-005
OSAKA,ESX_AGENT6-VB08-VADP-04,VBOdap-006
OSAKA,ESX_AGENT6-VB08-VADP-05,VBOdap-007
OSAKA,ESX_AGENT6-VB08-VADP-06,VBOdap-008
OSAKA,IAAS_MGMT-VCDDB-LS,VBOdhv-059 (db03 Test)
OSAKA,IAAS_MGMT-VCDDB-M,VBOdhv-055 (db03 Failover)
OSAKA,REGION_MGMT-OSAKA-AM,VBOdhv-030
OSAKA,REGION_MGMT-OSAKA-DS,VBOdhv-067
OSAKA,REGION_MGMT-OSAKA-DSDB,VBOdhv-068
OSAKA,REGION_MGMT-OSAKA-SPLF,VB8-SPLUNK
OSAKA,REGION_MGMT-OSAKA-SRM,VBOdhv-037
OSAKA,REGION_MGMT-OSAKA-SRM_RTEDGE,VBOdhv-100-0
OSAKA,REGION_MGMT-OSAKA-SRM_VRS,VBOdhv-038
OSAKA,REGION_MGMT-OSAKA-VC-A,VBOdhv-023a
OSAKA,REGION_MGMT-OSAKA-VC-B,VBOdhv-023b
OSAKA,REGION_MGMT-OSAKA-VCDB-A,VBOdhv-025
OSAKA,REGION_MGMT-OSAKA-VUM-A,VBOdhv-024a
OSAKA,REGION_MGMT-OSAKA-VUM-B,VBOdhv-024b
OSAKA,VB_MGMT-VB02-VCDB-LS,VBOdhv-060 (VBCdhv-013 Test)
OSAKA,VB_MGMT-VB02-VCDB-M,VBOdhv-056 (VBCdhv-013 Failover)
OSAKA,VB_MGMT-VB07-VCDB-LS,VBOdhv-061 (VBGdhv-005 Test)
OSAKA,VB_MGMT-VB07-VCDB-M,VBOdhv-057 (VBGdhv-005 Failover)
OSAKA,VB_MGMT-VB09-AM,VBOdhv-050
OSAKA,VB_MGMT-VB09-SPLF,VB09-Splunk
OSAKA,VB_MGMT-VB09-VC-A,VBOdhv-043a
OSAKA,VB_MGMT-VB09-VC-B,VBOdhv-043b
OSAKA,VB_MGMT-VB09-VCDB-A,VBOdhv-045
OSAKA,VB_MGMT-VB09-VCDB-B,VBOdhv-053
OSAKA,VB_MGMT-VB09-VUM-A,VBOdhv-044a
OSAKA,VB_MGMT-VB09-VUM-B,VBOdhv-044b
